순번,분류,이름,런치,디너,예약,소재지,Latitude,Longitude,링크
205,엔트리급,스시미즈테이,"50,000","100,000",캐치테이블,서울 중구 동호로7길 14 약수더시티 203호,37.5523149,127.0111611,"https://map.naver.com/v5/search/%EB%AF%B8%EC%A6%88%ED%85%8C%EC%9D%B4/place/1241492895?c=14136826.3843436,4516920.5942648,13,0,0,0,dh&placePath=%3Fentry%253Dbmp"
206,엔트리급,오관스시,"15,000","20,000",전화,서울 동대문구 회기로 121,37.5915679,127.0500554,"https://map.naver.com/v5/search/%EC%98%A4%EA%B4%80%EC%8A%A4%EC%8B%9C/place/37792323?c=14141633.7122975,4522647.5874915,15,0,0,0,dh"
207,엔트리급,스담,"15,000","24,000",전화,서울 중구 다산로28길 2-1,37.5597239,127.0138591,"https://map.naver.com/v5/search/%EC%8A%A4%EB%8B%B4/place/37869120?c=14138194.0460247,4517423.5943396,14,0,0,0,dh"
208,엔트리급,우정초밥,"25,000","25,000",전화,서울 성북구 종암로3길 31 1층,37.5929438,127.0342868,"https://map.naver.com/v5/search/%EC%9A%B0%EC%A0%95%EC%B4%88%EB%B0%A5/place/1156260886?c=14140930.2527716,4522093.4190364,15,0,0,0,dh&placePath=%3F%2526"
209,엔트리급,스시다온,"39,000","49,000",캐치테이블,서울 노원구 석계로 9 2층,37.61565,127.0644018,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%8B%A4%EC%98%A8/place/1318605884?placeSearchOption=fromNxList=true%26noredirect=1%26entry=pll&c=14143181.5621203,4524768.7150264,14,0,0,0,dh&placePath=%2Fhome%3Fentry=pll"
210,엔트리급,스시하쿠야,"39,000","79,000",캐치테이블,서울 노원구 노원로 470 2층,37.6583965,127.0657368,https://naver.me/G5riGdxf
211,엔트리급,스시초심,"40,000","60,000",캐치테이블,서울 노원구 노해로85길 1 1M층,37.6561016,127.0653965,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B4%88%EC%8B%AC/place/1831880102?c=14144353.1737899,4530880.3893523,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
212,미들급,스시호빈, X ,"120,000",캐치테이블,서울 중랑구 공릉로 32  공감대 아파트 상가1층,37.6133946,127.0783472,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%98%B8%EB%B9%88/place/1104052862?c=14145792.3643676,4525118.6532965,15,0,0,0,dh"
213,엔트리급,스시코야,"29,000","39,000",캐치테이블,서울 동대문구 황물로 42 1층,37.5732855,127.0462213,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%BD%94%EC%95%BC/place/1840897598?c=14142388.4181733,4518944.4659398,15,0,0,0,dh"
214,미들급,엔토츠야,"50,000","120,000","전화, 인스타DM예약",서울 동대문구 한천로26길 48-12 듀펠센터 B1층,37.5705779,127.0678763,"https://map.naver.com/v5/search/%EC%97%94%ED%86%A0%EC%B8%A0%EC%95%BC/place/1236697021?c=14144203.9073736,4518947.5575911,14,0,0,0,dh"
215,하이엔드급,아리아께,"200,000","250,000",매달 1일 전화에약,서울 중구 동호로 249,37.5577399,127.0076342,"https://map.naver.com/v5/search/%EC%95%84%EB%A6%AC%EC%95%84%EA%BB%98/place/11715904?c=14138005.3421111,4516721.3291423,15,0,0,0,dh"
216,엔트리급,스시카야논데, X ,"58,000",캐치테이블 (10일/25일),서울 동대문구 장한로27길 46,37.5732597,127.0690621,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B9%B4%EC%95%BC%EB%85%BC%EB%8D%B0/place/30833449?c=14144796.1311800,4519321.8005478,15,0,0,0,dh"
217,엔트리급,닛시스시,"30,000","50,000",네이버예약(15일 12시),서울 동대문구 신이문로 39 1층,37.603145,127.0663863,"https://map.naver.com/v5/search/%EB%8B%9B%EC%8B%9C%EC%8A%A4%EC%8B%9C/place/1061439944?c=14144454.7163727,4523511.0870454,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
218,엔트리급,스시무카,"30,000 / 50,000","50,000 / 70,000 / 100,000",전화,서울 성동구 왕십리로 410 센트라스상가L동103호,37.5549336,127.0367427,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%AC%B4%EC%B9%B4/place/1406110999?c=14139894.7699040,4518121.0822227,14,0,0,0,dh"
